ts,machine_id,type,air_temp_k,process_temp_k,rot_speed_rpm,torque_nm,tool_wear_min,vibration_mms,current_a,humidity_pct,machine_failure,collected_at
2024-01-02 12:49:00,CNC-02,M,296.99026252312325,311.89783279473716,1457.4178938695295,51.79530934894353,149.11431967585892,2.3574530043242112,14.015666635015322,53.79953624442715,0,2026-08-25 06:31:44
2024-01-02 10:05:00,CNC-01,L,296.02133819388956,310.73216547286853,1399.7411177482081,53.50853301873029,151.39172878355234,2.3109619527038636,13.816173419518607,59.74911578840368,0,2026-08-25 06:31:44
2024-01-02 16:11:00,CNC-01,L,298.4801286925895,312.6494508679076,1752.8853953414919,39.01296819985075,81.61323394673106,2.406493057580948,12.831430856060225,55.09431807097395,0,2026-08-25 06:31:44
2024-01-02 20:00:00,CNC-03,H,299.23838202467624,,2428.414123901122,20.623945699779426,198.86697266964757,3.43267103608859,9.436625108302508,52.90947007966227,0,2026-08-25 06:31:44
2024-01-02 23:31:00,CNC-01,L,298.30562618698525,311.1549982232134,2677.816476380543,18.371167431977895,182.11305378081275,3.8231970228617125,9.202117347004917,52.85115310728937,0,2026-08-25 06:31:44
2024-01-02 08:21:00,CNC-02,M,295.99622014284967,311.3219518076452,1818.7903284668428,43.72272638281914,196.9287004229248,3.11962313105402,14.73137952893021,60.18552208298628,0,2026-08-25 06:31:44
2024-01-02 19:43:00,CNC-02,M,299.40272385317326,314.1239892351947,2349.5996566744293,27.886920756102263,233.6271390634564,3.968051280157649,12.246984026221272,53.31932503304126,0,2026-08-25 06:31:44
2024-01-02 19:33:44,CNC-02,M,299.0320602982985,313.2402752512027,2443.401019778717,24.930777765438084,223.9515369738978,3.8793250021702517,11.362549405084263,49.09747783916385,0,2026-08-25 06:31:44
2024-01-02 10:07:00,CNC-02,M,296.00358998245053,310.3744503770357,1445.0171729550577,47.96166653710971,99.31533925065274,2.1326386678829405,12.92930863746189,55.59528803878436,0,2026-08-25 06:31:44
2024-01-02 01:13:00,CNC-03,H,298.4381850061947,310.0622445030744,2651.9370458314515,14.111634595577717,126.44074776819454,3.2644053057536864,7.198882389614433,56.05107566392157,0,2026-08-25 06:31:44
2024-01-02 18:00:00,CNC-03,H,299.24186694850994,313.10656865542296,2021.977571263551,33.97787450237234,47.05433426125552,2.631080826375121,12.81086055903909,52.82631067454889,0,2026-08-25 06:31:44
2024-01-02 02:04:00,CNC-02,M,298.0640491023081,311.1907741737393,2631.1211477024262,19.79411035847212,178.7207512291142,3.5469232208227406,9.45622497803881,53.489673441917255,0,2026-08-25 06:31:44
2024-01-02 16:19:00,CNC-03,H,298.200378716583,312.7769061802922,1816.3605050848191,40.871890969776636,179.07174412646415,2.838878137804089,13.936900970222338,55.60169082592818,0,2026-08-25 06:31:44
2024-01-02 06:11:00,CNC-03,H,296.62414358136454,310.4814625459263,1999.4700615016086,35.456961466427494,6.747410442945721,2.5451588196214803,13.271256208107868,56.148693147282636,0,2026-08-25 06:31:44
2024-01-02 16:23:00,CNC-03,H,298.23110474257476,313.1411930310055,1576.49025581568,49.053092595899514,184.87185352262998,2.6730969184305104,14.344460316149657,53.36984004510019,0,2026-08-25 06:31:44
2024-01-02 02:51:00,CNC-02,M,297.94677003280293,309.9444275671972,2363.693114141259,20.661475213112205,7.898773700618147,2.8740376928332663,9.487546470696582,57.73127849767859,0,2026-08-25 06:31:44
2024-01-02 20:58:00,CNC-01,L,299.0827031372061,312.3004005367912,2421.4333582595987,25.520319474753066,14.86026877386669,2.928596949615859,11.294571534488055,49.30487892978058,0,2026-08-25 06:31:44
2024-01-02 22:51:00,CNC-01,L,298.76819824838475,311.09963697843125,2832.49049488407,15.841833200875428,139.5635940942323,3.6766346650235917,8.315360166005588,55.066877451096445,0,2026-08-25 06:31:44
2024-01-02 22:01:00,CNC-03,H,299.3624679668526,311.84167213789476,2611.3396136876627,18.54461698671112,70.10338293897007,3.2472319662210865,9.018061113794001,53.41972509819901,0,2026-08-25 06:31:44
2024-01-02 06:41:00,CNC-03,H,296.41044384965437,310.34235041353395,1877.4079810286307,36.729154112396095,47.27797811432333,2.571545991576937,12.940564571506513,57.89191160506457,0,2026-08-25 06:31:44
2024-01-02 00:49:00,CNC-02,M,298.4886321212765,310.33311588016267,2659.0239015362827,,97.42795515091376,3.29273652711808,7.388901196607945,54.20514978755684,0,2026-08-25 06:31:44
2024-01-02 04:01:00,CNC-01,L,296.35829892177526,309.63011089465823,2285.26486784766,26.12091581428586,101.49382955922708,2.9979021288075915,11.09279841748699,58.26491731195261,0,2026-08-25 06:31:44
2024-01-02 08:10:00,CNC-03,H,,310.49347096278086,1487.9421047812702,50.25032547057811,174.84418940756814,2.4367709976711556,13.792926452652637,57.52694645315621,0,2026-08-25 06:31:44
2024-01-02 02:37:00,CNC-02,M,298.05829477723864,312.07845387313995,2461.721502984377,25.52731097941689,215.54610890839254,3.7890588371868428,11.603292388999662,55.766328018315086,0,2026-08-25 06:31:44
2024-01-02 01:35:52,CNC-02,M,298.38123984271766,310.61450346432804,2679.5235815187216,15.708061814870456,147.11834229302892,3.3828594465714463,8.034303679878589,54.37020318516072,0,2026-08-25 06:31:44
2024-01-02 01:24:00,CNC-01,L,298.2033170009145,310.1921249055062,2773.63209241257,14.571013543457186,122.69417454763222,3.4296264871146747,7.6178657158280165,53.867184198288456,0,2026-08-25 06:31:44
2024-01-02 03:57:00,CNC-03,H,297.3360683524754,309.92988145926165,2354.452730961114,22.441352435810625,57.057634907684296,2.9212109512514535,9.955231968141105,56.349576242054226,0,2026-08-25 06:31:44
2024-01-02 00:30:00,CNC-03,H,298.7685765238156,310.89213354289154,2703.4382069255316,16.442824264379624,80.58035114138893,3.2089321423797577,8.213974206873457,57.30107535731214,0,2026-08-25 06:31:44
2024-01-02 20:23:00,CNC-01,L,299.17488260862666,312.9695248068644,2556.8455517214093,24.092549637240186,201.22009842464564,3.8942359890404457,11.367856809855342,52.68676457836885,0,2026-08-25 06:31:44
2024-01-02 08:55:00,CNC-03,H,295.84489053110207,311.00388141883997,1564.765238542693,48.03245579591673,242.38953052382925,3.1859892068365063,13.718290279192665,60.039946337979224,0,2026-08-25 06:31:44
2024-01-02 16:45:00,CNC-02,M,303.62794947424345,311.7211253485919,1745.6796284794166,41.60339993562477,0.0,2.323240049658446,13.490665355373464,44.24775129359253,0,2026-08-25 06:31:44
2024-01-02 07:55:00,CNC-03,H,22.703562376030334,37.354233187925956,1602.7478258657736,47.16971853521905,152.77918913820872,2.415965525381638,14.033701640331202,58.488776389128255,0,2026-08-25 06:31:44
2024-01-02 00:17:00,CNC-03,H,299.0187341664077,311.6422702303354,2674.2950625354197,19.368837404203163,66.62389125918914,0.0,9.471746626855884,53.062155561703655,0,2026-08-25 06:31:44
2024-01-02 18:58:25,CNC-01,L,25.969077059399353,39.23583342269205,2106.5677455786044,28.61751702205736,96.63233180479565,2.7695625320735813,11.065014274381971,49.62017925590874,0,2026-08-25 06:31:44
2024-01-02 07:08:58,CNC-02,M,23.255443337950112,37.212238274888875,1920.1355571575866,34.52902211345431,94.34477644069037,2.4831312515842265,12.191545297663641,61.24240772968788,0,2026-08-25 06:31:44
2024-01-02 04:04:00,CNC-03,H,297.64163636832046,310.9592430046131,2412.228947967259,24.449937234606125,65.47453934264972,3.030044429914161,10.960325364983841,54.325861479092495,0,2026-08-25 06:31:44
2024-01-02 15:54:00,CNC-01,L,298.5013935926384,312.9837937587229,1662.1359411265048,46.010719536593115,56.843127669487004,2.197848943369531,14.125553675199818,54.40525305635513,0,2026-08-25 06:31:44
2024-01-02 07:43:00,CNC-02,M,22.76125002174109,37.79109397621215,1679.3044509586132,47.10955918190244,141.28327202911373,2.560540761043365,15.021999377563544,60.50247175910583,0,2026-08-25 06:31:44
2024-01-02 18:32:00,CNC-03,H,26.13298134757764,40.302173134609916,2209.5348896247583,32.02613691778879,89.12142100943933,2.710591727975634,13.295075482647666,52.94041687202417,0,2026-08-25 06:31:44
2024-01-02 10:41:00,CNC-02,M,296.3704209974753,311.52618445581123,1387.9102612019233,55.85672553066241,152.8621307895705,22.990833671944287,14.638898936823734,59.83769088058943,0,2026-08-25 06:31:44
